scope,domain,q_id,k,metric,bm25_v0.1,embedding_v0.1,absolute_difference
per_question,evidence,Q07,5,all_parts_rate,0.166666666667,0.083333333333,0.083333333334
per_question,evidence,Q07,5,benchmark_weighted_strict_score,0.244897959184,0.122448979592,0.122448979592
per_question,evidence,Q07,5,weighted_partial_coverage,0.244897959184,0.122448979592,0.122448979592
per_question,evidence,Q07,5,core_recall,0.4,0.2,0.2
per_question,evidence,Q07,10,part_recall,0.133333333333,0.2,0.066666666667
per_question,evidence,Q07,10,item_coverage,0.166666666667,0.208333333333,0.041666666666
per_question,evidence,Q07,10,all_parts_rate,0.166666666667,0.166666666667,0.0
per_question,evidence,Q07,10,benchmark_weighted_strict_score,0.244897959184,0.244897959184,0.0
per_question,evidence,Q07,10,weighted_partial_coverage,0.244897959184,0.275510204082,0.030612244898
per_question,evidence,Q07,10,core_recall,0.4,0.4,0.0
per_question,evidence,Q07,20,part_recall,0.133333333333,0.2,0.066666666667
per_question,evidence,Q07,20,item_coverage,0.166666666667,0.208333333333,0.041666666666
per_question,evidence,Q07,20,all_parts_rate,0.166666666667,0.166666666667,0.0
per_question,evidence,Q07,20,benchmark_weighted_strict_score,0.244897959184,0.244897959184,0.0
per_question,evidence,Q07,20,weighted_partial_coverage,0.244897959184,0.275510204082,0.030612244898
per_question,evidence,Q07,20,core_recall,0.4,0.4,0.0
per_question,evidence,Q07,50,part_recall,0.266666666667,0.266666666667,0.0
per_question,evidence,Q07,50,item_coverage,0.291666666667,0.291666666667,0.0
per_question,evidence,Q07,50,all_parts_rate,0.25,0.25,0.0
per_question,evidence,Q07,50,benchmark_weighted_strict_score,0.367346938776,0.367346938776,0.0
per_question,evidence,Q07,50,weighted_partial_coverage,0.397959183673,0.397959183673,0.0
per_question,evidence,Q07,50,core_recall,0.6,0.6,0.0
per_question,evidence,Q09,1,part_recall,0.0,0.0,0.0
per_question,evidence,Q09,1,item_coverage,0.0,0.0,0.0
per_question,evidence,Q09,1,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q09,1,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q09,1,weighted_partial_coverage,0.0,0.0,0.0
per_question,evidence,Q09,1,core_recall,0.0,0.0,0.0
per_question,evidence,Q09,3,part_recall,0.0,0.0,0.0
per_question,evidence,Q09,3,item_coverage,0.0,0.0,0.0
per_question,evidence,Q09,3,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q09,3,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q09,3,weighted_partial_coverage,0.0,0.0,0.0
per_question,evidence,Q09,3,core_recall,0.0,0.0,0.0
per_question,evidence,Q09,5,part_recall,0.0,0.181818181818,0.181818181818
per_question,evidence,Q09,5,item_coverage,0.0,0.181818181818,0.181818181818
per_question,evidence,Q09,5,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q09,5,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q09,5,weighted_partial_coverage,0.0,0.235294117647,0.235294117647
per_question,evidence,Q09,5,core_recall,0.0,0.0,0.0
per_question,evidence,Q09,10,part_recall,0.0,0.454545454545,0.454545454545
per_question,evidence,Q09,10,item_coverage,0.0,0.454545454545,0.454545454545
per_question,evidence,Q09,10,all_parts_rate,0.0,0.272727272727,0.272727272727
per_question,evidence,Q09,10,benchmark_weighted_strict_score,0.0,0.294117647059,0.294117647059
per_question,evidence,Q09,10,weighted_partial_coverage,0.0,0.529411764706,0.529411764706
per_question,evidence,Q09,10,core_recall,0.0,0.333333333333,0.333333333333
per_question,evidence,Q09,20,part_recall,0.0,0.454545454545,0.454545454545
per_question,evidence,Q09,20,item_coverage,0.0,0.454545454545,0.454545454545
per_question,evidence,Q09,20,all_parts_rate,0.0,0.272727272727,0.272727272727
per_question,evidence,Q09,20,benchmark_weighted_strict_score,0.0,0.294117647059,0.294117647059
per_question,evidence,Q09,20,weighted_partial_coverage,0.0,0.529411764706,0.529411764706
per_question,evidence,Q09,20,core_recall,0.0,0.333333333333,0.333333333333
per_question,evidence,Q09,50,part_recall,0.272727272727,0.636363636364,0.363636363637
per_question,evidence,Q09,50,item_coverage,0.272727272727,0.636363636364,0.363636363637
per_question,evidence,Q09,50,all_parts_rate,0.0,0.454545454545,0.454545454545
per_question,evidence,Q09,50,benchmark_weighted_strict_score,0.0,0.5,0.5
per_question,evidence,Q09,50,weighted_partial_coverage,0.264705882353,0.691176470588,0.426470588235
per_question,evidence,Q09,50,core_recall,0.0,0.666666666667,0.666666666667
per_question,evidence,Q10,1,part_recall,0.0,0.0,0.0
per_question,evidence,Q10,1,item_coverage,0.0,0.0,0.0
per_question,evidence,Q10,1,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q10,1,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q10,1,weighted_partial_coverage,0.0,0.0,0.0
per_question,evidence,Q10,1,core_recall,0.0,0.0,0.0
per_question,evidence,Q10,3,part_recall,0.0,0.0,0.0
per_question,evidence,Q10,3,item_coverage,0.0,0.0,0.0
per_question,evidence,Q10,3,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q10,3,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q10,3,weighted_partial_coverage,0.0,0.0,0.0
per_question,evidence,Q10,3,core_recall,0.0,0.0,0.0
per_question,evidence,Q10,5,part_recall,0.038461538462,0.153846153846,0.115384615384
per_question,evidence,Q10,5,item_coverage,0.0625,0.1875,0.125
per_question,evidence,Q10,5,all_parts_rate,0.0625,0.1875,0.125
per_question,evidence,Q10,5,benchmark_weighted_strict_score,0.04347826087,0.260869565217,0.217391304347
per_question,evidence,Q10,5,weighted_partial_coverage,0.04347826087,0.260869565217,0.217391304347
per_question,evidence,Q10,5,core_recall,0.0,0.428571428571,0.428571428571
per_question,evidence,Q10,10,part_recall,0.038461538462,0.269230769231,0.230769230769
per_question,evidence,Q10,10,item_coverage,0.0625,0.296875,0.234375
per_question,evidence,Q10,10,all_parts_rate,0.0625,0.25,0.1875
per_question,evidence,Q10,10,benchmark_weighted_strict_score,0.04347826087,0.304347826087,0.260869565217
per_question,evidence,Q10,10,weighted_partial_coverage,0.04347826087,0.336956521739,0.293478260869
per_question,evidence,Q10,10,core_recall,0.0,0.428571428571,0.428571428571
per_question,evidence,Q10,20,part_recall,0.038461538462,0.307692307692,0.26923076923
per_question,evidence,Q10,20,item_coverage,0.0625,0.3125,0.25
per_question,evidence,Q10,20,all_parts_rate,0.0625,0.25,0.1875
per_question,evidence,Q10,20,benchmark_weighted_strict_score,0.04347826087,0.304347826087,0.260869565217
per_question,evidence,Q10,20,weighted_partial_coverage,0.04347826087,0.347826086957,0.304347826087
per_question,evidence,Q10,20,core_recall,0.0,0.428571428571,0.428571428571
per_question,evidence,Q10,50,part_recall,0.230769230769,0.346153846154,0.115384615385
per_question,evidence,Q10,50,item_coverage,0.265625,0.34375,0.078125
per_question,evidence,Q10,50,all_parts_rate,0.25,0.3125,0.0625
per_question,evidence,Q10,50,benchmark_weighted_strict_score,0.304347826087,0.347826086957,0.04347826087
per_question,evidence,Q10,50,weighted_partial_coverage,0.315217391304,0.369565217391,0.054347826087
per_question,evidence,Q10,50,core_recall,0.428571428571,0.428571428571,0.0
per_question,evidence,Q12,1,part_recall,0.0,0.0,0.0
per_question,evidence,Q12,1,item_coverage,0.0,0.0,0.0
per_question,evidence,Q12,1,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q12,1,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q12,1,weighted_partial_coverage,0.0,0.0,0.0
per_question,evidence,Q12,1,core_recall,0.0,0.0,0.0
per_question,evidence,Q12,3,part_recall,0.0,0.0,0.0
per_question,evidence,Q12,3,item_coverage,0.0,0.0,0.0
per_question,evidence,Q12,3,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q12,3,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q12,3,weighted_partial_coverage,0.0,0.0,0.0
per_question,evidence,Q12,3,core_recall,0.0,0.0,0.0
per_question,evidence,Q12,5,part_recall,0.0,0.0,0.0
per_question,evidence,Q12,5,item_coverage,0.0,0.0,0.0
per_question,evidence,Q12,5,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q12,5,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q12,5,weighted_partial_coverage,0.0,0.0,0.0
per_question,evidence,Q12,5,core_recall,0.0,0.0,0.0
per_question,evidence,Q12,10,part_recall,0.285714285714,0.0,0.285714285714
per_question,evidence,Q12,10,item_coverage,0.318181818182,0.0,0.318181818182
per_question,evidence,Q12,10,all_parts_rate,0.272727272727,0.0,0.272727272727
per_question,evidence,Q12,10,benchmark_weighted_strict_score,0.209302325581,0.0,0.209302325581
per_question,evidence,Q12,10,weighted_partial_coverage,0.279069767442,0.0,0.279069767442
per_question,evidence,Q12,10,core_recall,0.0,0.0,0.0
per_question,evidence,Q12,20,part_recall,0.285714285714,0.0,0.285714285714
per_question,evidence,Q12,20,item_coverage,0.318181818182,0.0,0.318181818182
per_question,evidence,Q12,20,all_parts_rate,0.272727272727,0.0,0.272727272727
per_question,evidence,Q12,20,benchmark_weighted_strict_score,0.209302325581,0.0,0.209302325581
per_question,evidence,Q12,20,weighted_partial_coverage,0.279069767442,0.0,0.279069767442
per_question,evidence,Q12,20,core_recall,0.0,0.0,0.0
per_question,evidence,Q12,50,part_recall,0.5,0.142857142857,0.357142857143
per_question,evidence,Q12,50,item_coverage,0.545454545455,0.136363636364,0.409090909091
per_question,evidence,Q12,50,all_parts_rate,0.545454545455,0.090909090909,0.454545454546
per_question,evidence,Q12,50,benchmark_weighted_strict_score,0.627906976744,0.06976744186,0.558139534884
per_question,evidence,Q12,50,weighted_partial_coverage,0.627906976744,0.104651162791,0.523255813953
per_question,evidence,Q12,50,core_recall,0.75,0.0,0.75
per_question,evidence,Q14,1,part_recall,0.0,0.0,0.0
per_question,evidence,Q14,1,item_coverage,0.0,0.0,0.0
per_question,evidence,Q14,1,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q14,1,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q14,1,weighted_partial_coverage,0.0,0.0,0.0
per_question,evidence,Q14,1,core_recall,0.0,0.0,0.0
per_question,evidence,Q14,3,part_recall,0.0,0.0,0.0
per_question,evidence,Q14,3,item_coverage,0.0,0.0,0.0
per_question,evidence,Q14,3,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q14,3,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q14,3,weighted_partial_coverage,0.0,0.0,0.0
per_question,evidence,Q14,3,core_recall,0.0,0.0,0.0
per_question,evidence,Q14,5,part_recall,0.0,0.0,0.0
per_question,evidence,Q14,5,item_coverage,0.0,0.0,0.0
per_question,evidence,Q14,5,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q14,5,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q14,5,weighted_partial_coverage,0.0,0.0,0.0
per_question,evidence,Q14,5,core_recall,0.0,0.0,0.0
per_question,evidence,Q14,10,part_recall,0.0,0.0,0.0
per_question,evidence,Q14,10,item_coverage,0.0,0.0,0.0
per_question,evidence,Q14,10,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q14,10,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q14,10,weighted_partial_coverage,0.0,0.0,0.0
per_question,evidence,Q14,10,core_recall,0.0,0.0,0.0
per_question,evidence,Q14,20,part_recall,0.0,0.0,0.0
per_question,evidence,Q14,20,item_coverage,0.0,0.0,0.0
per_question,evidence,Q14,20,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q14,20,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q14,20,weighted_partial_coverage,0.0,0.0,0.0
per_question,evidence,Q14,20,core_recall,0.0,0.0,0.0
per_question,evidence,Q14,50,part_recall,0.24,0.08,0.16
per_question,evidence,Q14,50,item_coverage,0.233333333333,0.066666666667,0.166666666666
per_question,evidence,Q14,50,all_parts_rate,0.066666666667,0.0,0.066666666667
per_question,evidence,Q14,50,benchmark_weighted_strict_score,0.047619047619,0.0,0.047619047619
per_question,evidence,Q14,50,weighted_partial_coverage,0.238095238095,0.071428571429,0.166666666666
per_question,evidence,Q14,50,core_recall,0.0,0.0,0.0
per_question,evidence,Q15,1,part_recall,0.029411764706,0.0,0.029411764706
per_question,evidence,Q15,1,item_coverage,0.035714285714,0.0,0.035714285714
per_question,evidence,Q15,1,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q15,1,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q15,1,weighted_partial_coverage,0.044117647059,0.0,0.044117647059
per_question,evidence,Q15,1,core_recall,0.0,0.0,0.0
per_question,evidence,Q15,3,part_recall,0.058823529412,0.088235294118,0.029411764706
per_question,evidence,Q15,3,item_coverage,0.071428571429,0.071428571429,0.0
per_question,evidence,Q15,3,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q15,3,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q15,3,weighted_partial_coverage,0.088235294118,0.069852941176,0.018382352942
per_question,evidence,Q15,3,core_recall,0.0,0.0,0.0
per_question,evidence,Q15,5,part_recall,0.058823529412,0.088235294118,0.029411764706
per_question,evidence,Q15,5,item_coverage,0.071428571429,0.071428571429,0.0
per_question,evidence,Q15,5,all_parts_rate,0.0,0.0,0.0
